city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
verkhoyansk,ru,66,132,-1.47,69.0,48.0,2.13
rosetta,eg,33,31,18.0,59.0,40.0,4.1
leverkusen,de,51,7,12.22,76.0,0.0,1.5
rafina,gr,38,24,9.61,61.0,0.0,2.1
raduzhnyy,ru,60,50,-12.32,82.0,0.0,2.33
chimoio,mz,-19,34,19.0,100.0,76.0,1.0
dawlatabad,af,37,65,18.89,50.0,64.0,1.98
ordubad,az,39,46,6.0,93.0,90.0,1.0
kampene,cd,-4,26,19.84,99.0,92.0,1.08
prince albert,ca,54,-106,7.0,87.0,90.0,3.6
podor,sn,17,-15,22.0,53.0,0.0,2.1
rikitea,pf,-67,-137,26.09,100.0,92.0,3.78
constanza,do,19,-71,23.0,100.0,75.0,2.1
wanaka,nz,-45,169,13.29,34.0,0.0,1.18
sa kaeo,th,14,102,30.79,78.0,48.0,2.98
amasya,tr,41,36,-1.0,86.0,0.0,0.38
megion,ru,60,76,-7.0,62.0,0.0,2.0
cutro,it,39,17,10.0,93.0,0.0,2.1
graaff-reinet,za,-32,24,7.59,64.0,0.0,1.23
ureki,ge,42,41,8.47,93.0,40.0,3.6
kerema,pg,-9,146,26.69,92.0,80.0,1.43
mantenopolis,br,-19,-41,18.79,77.0,48.0,3.43
dmytrivka,ua,46,29,8.36,61.0,0.0,3.0
yumen,cn,39,94,13.39,45.0,88.0,3.03
dayong,cn,29,111,28.39,97.0,20.0,6.43
buraydah,sa,25,41,24.0,57.0,48.0,5.1
north branch,us,46,-93,3.75,51.0,40.0,2.78
nkhotakota,mw,-13,34,21.59,91.0,68.0,2.53
saint-jean-de-braye,fr,48,2,12.93,87.0,0.0,2.1
porbandar,in,19,67,26.89,77.0,0.0,4.08
carmarthen,gb,52,-4,11.0,93.0,12.0,3.6
macheng,cn,31,115,20.49,100.0,92.0,1.93
diosjeno,hu,48,19,5.0,100.0,0.0,1.0
batagay-alyta,ru,68,127,-5.52,81.0,48.0,1.53
kandi,in,24,88,25.99,56.0,0.0,3.58
bitung,id,2,126,29.0,74.0,40.0,3.1
orocue,co,5,-71,22.54,97.0,80.0,1.38
springfield,us,37,-87,13.0,76.0,90.0,2.6
terrace,ca,58,-129,5.0,80.0,75.0,6.7
cazones,mx,21,-97,25.64,87.0,0.0,6.48
along,in,30,94,16.59,98.0,100.0,0.73
bataipora,br,-22,-53,20.29,80.0,8.0,1.28
watari,jp,38,141,25.0,23.0,0.0,4.6
