city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
santo domingo,ec,0,-79,22.0,94.0,40.0,2.1
jiaonan,cn,36,120,14.0,93.0,90.0,3.0
severobaykalsk,ru,56,109,3.59,83.0,36.0,1.33
saint augustine,us,30,-81,25.0,83.0,20.0,1.5
pangoa,pe,-11,-72,17.59,98.0,68.0,0.83
grindavik,is,56,-27,3.0,86.0,20.0,6.7
coquimbo,cl,-28,-82,13.0,93.0,90.0,2.03
syasstroy,ru,60,33,-0.72,87.0,36.0,2.98
heerenveen,nl,53,6,10.01,71.0,90.0,3.6
la cruz,mx,23,-108,23.59,57.0,48.0,1.28
dunmore east,ie,52,-7,8.44,99.0,92.0,5.53
mackenzie,ca,56,-124,6.0,45.0,90.0,4.1
akhisar,tr,39,28,2.89,80.0,0.0,1.08
barnbach,at,47,16,9.0,93.0,0.0,0.5
torata,pe,-17,-71,2.84,74.0,20.0,0.53
san carlos del zulia,ve,9,-72,27.14,86.0,48.0,1.08
sebina,bw,-21,27,16.49,74.0,0.0,2.38
buciumi,ro,47,23,11.0,71.0,0.0,0.5
mombetsu,jp,45,144,4.0,98.0,75.0,4.1
guerrero negro,mx,15,-131,19.44,58.0,64.0,2.68
deep river,ca,47,-77,0.0,80.0,1.0,1.03
siddipet,in,18,79,30.79,50.0,0.0,2.33
magomeni,tz,-5,38,23.79,100.0,88.0,3.53
talalayivka,ua,51,32,6.79,60.0,0.0,6.13
stawell,au,-37,143,22.39,69.0,0.0,1.18
naifaru,mv,5,74,29.69,99.0,76.0,2.58
giyani,za,-23,31,16.84,93.0,44.0,1.28
bereznik,ru,63,42,-5.82,69.0,0.0,4.83
rongcheng,cn,26,120,12.84,99.0,92.0,4.23
iramuco,mx,20,-101,23.0,40.0,5.0,3.1
allonnes,fr,48,0,11.88,93.0,0.0,1.0
vieira de leiria,pt,40,-9,15.0,93.0,40.0,0.5
remedios,pa,8,-82,24.0,83.0,20.0,4.1
rosendal,no,60,6,4.69,60.0,0.0,4.1
pacifica,us,37,-124,17.93,77.0,1.0,1.5
yerky,ua,49,31,8.19,65.0,0.0,5.48
humenne,sk,49,22,7.59,64.0,0.0,4.23
teknaf,bd,21,93,30.49,75.0,0.0,1.63
sao raimundo das mangabeiras,br,-7,-45,30.09,46.0,100.0,4.53
pleasanton,us,29,-98,18.55,52.0,1.0,3.6
amod,in,22,73,27.89,82.0,0.0,2.08
wolsztyn,pl,52,16,3.0,100.0,0.0,1.13
norden,de,54,7,7.62,87.0,20.0,2.1
zonguldak,tr,43,31,4.69,96.0,0.0,1.78
assare,br,-7,-40,22.94,65.0,24.0,2.58
shchigry,ru,52,37,5.79,86.0,0.0,7.08
nawa,sy,33,36,26.59,24.0,0.0,3.68
yangambi,cd,-1,24,22.84,99.0,36.0,1.03
adiake,ci,5,-3,27.0,83.0,20.0,2.1
santa maria del oro,mx,26,-105,21.79,22.0,92.0,2.13
calvia,es,40,2,12.0,87.0,0.0,1.0
saint-raymond,ca,47,-72,0.07,68.0,1.0,2.23
elliot,za,-31,28,1.29,70.0,0.0,1.03
tingo maria,pe,-9,-76,16.44,95.0,8.0,0.78
ballina,ie,57,-11,7.79,99.0,76.0,3.98
