Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,2018-04-29 02:22:48+00:00,1.0,0.0,0.0,"RT @CNN: ""The Daily Show"" contributor Michelle Wolf is hosting tonight's White House correspondents' dinner. Here are four things you shoul…",34,@CNN
-0.477,2018-04-29 02:22:47+00:00,0.721,0.279,0.0,@CNN I guess you were wrong due to unforeseen circumstances,35,@CNN
0.0,2018-04-29 02:22:45+00:00,1.0,0.0,0.0,@djb799 @mfrohlichman @CNN Exactly Dave!,36,@CNN
0.542,2018-04-29 02:22:44+00:00,0.704,0.085,0.211,@tedlieu seems to be touting for a job at @CNN ... fits their narrative perfectly ....idiot https://t.co/bGhxYm6dLk,37,@CNN
0.0,2018-04-29 02:22:44+00:00,1.0,0.0,0.0,"RT @CNN: ""US presidents have attended this dinner nearly every year since Calvin Coolidge's days. And that's a tradition we believe will wi…",38,@CNN
-0.402,2018-04-29 02:22:44+00:00,0.695,0.205,0.1,@JordanSchachtel @Cernovich Why does all media have their head in the sand and refuse to accept they are fake? They… https://t.co/JGXWbMdG6j,39,@CNN
-0.735,2018-04-29 02:22:43+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",40,@CNN
0.0,2018-04-29 02:22:43+00:00,1.0,0.0,0.0,"@CNN 나라꼴을 이 지경으로 만들어 놓고 무엇이 잘났다고 새빨간 거짓말과, 조작과, 국민을 배신한 정치를 하였으면서, 어찌 옳은 소리하는 정치인에게 배신의 정치라고 뒤집어씌우고 있는가 말이다.!!!!!!… https://t.co/CUCElNYNgr",41,@CNN
-0.735,2018-04-29 02:22:43+00:00,0.78,0.22,0.0,"RT @drturpin: Retweeted CNN (@CNN):

""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White Hous…",42,@CNN
0.778,2018-04-29 02:22:42+00:00,0.755,0.0,0.245,"RT @CNN: ""Daily Show"" comedian Hasan Minhaj spoke at the White House correspondents' dinner last year. Here's a look back at his best jokes…",43,@CNN
-0.226,2018-04-29 02:22:41+00:00,0.909,0.091,0.0,RT @StayWoke_____: @BushallSam1 @affan_imran @TheRickWilson I’m with you on that. This is one of the reasons I stopped watching @CNN - ppl…,44,@CNN
0.0,2018-04-29 02:22:37+00:00,1.0,0.0,0.0,@judithnwana @LumSSN @EmmanuelMacron @RepLeeZeldin @ChrisCoons @_AfricaTimes… https://t.co/PQKZgz9iQo,45,@CNN
0.0,2018-04-29 02:22:37+00:00,1.0,0.0,0.0,@CNN First amendment is outdated. Common sense media control now,46,@CNN
0.153,2018-04-29 02:22:36+00:00,0.286,0.314,0.4,@CNN Lol no bruh,47,@CNN
-0.736,2018-04-29 02:22:36+00:00,0.326,0.674,0.0,@CNN What a scared little shit.,48,@CNN
0.875,2018-04-29 02:22:36+00:00,0.6,0.0,0.4,RT @susancandiotti: Congrats to Merriman Smith Award 2018 broadcast deadline winners @jaketapper @evanperez @jimsciutto and @CNN team prese…,49,@CNN
-0.202,2018-04-29 02:22:36+00:00,0.652,0.17,0.178,@frankthecoach @CNN Wishing death on fellow Americans because they don’t share your ideology? That mentality has no… https://t.co/BbAqohCCxS,50,@CNN
0.0,2018-04-29 02:22:36+00:00,1.0,0.0,0.0,"RT @CNN: ""US presidents have attended this dinner nearly every year since Calvin Coolidge's days. And that's a tradition we believe will wi…",51,@CNN
0.44,2018-04-29 02:22:35+00:00,0.868,0.0,0.132,@CNN Good for President Trump. These so-called reporters should just go to McDonald's and color the place mats. MAY… https://t.co/xMlbPUThPZ,52,@CNN
-0.026,2018-04-29 02:22:34+00:00,0.579,0.212,0.209,"@KB805 @CNN Hitler’s psychosis made him stupid, too.  He destroyed so much, and wasn’t smart enough to win in the e… https://t.co/UeczJ4a1IH",53,@CNN
0.103,2018-04-29 02:22:33+00:00,0.725,0.13,0.145,"RT @RAMRANTS: Why are CNN employees threatening other journalists — mafia style — over the reporting of Joy Reid’s *proven* lie?

“You don’…",54,@CNN
0.0,2018-04-29 02:22:31+00:00,1.0,0.0,0.0,@CNN Why on earth can’t you just tell her what the entire world wants you to tell her?????,55,@CNN
0.784,2018-04-29 02:22:30+00:00,0.67,0.0,0.33,"""Breaking news at its best."" ~ Merriman Smith Award 🥇judges | Congrats to @CNN’s @jaketapper @evanperez @jimsciutto… https://t.co/Ygz1o4bIf4",56,@CNN
-0.885,2018-04-29 02:22:30+00:00,0.437,0.47,0.093,"Trumpsters aren't ppl suffering economic woes, they're just racist assholes. Democrats need to stop believing this… https://t.co/tIiX2P90a4",57,@CNN
-0.318,2018-04-29 02:22:29+00:00,0.897,0.103,0.0,"@CNN the accusations were from long, long ago, in a totally different environment for that sort of thing, so even i… https://t.co/p8KNbeBsrs",58,@CNN
0.296,2018-04-29 02:22:29+00:00,0.891,0.0,0.109,"RT @BrianPaulStuart: .@CNN:
Your decision to have #Trump sycophant @ParisDennard join your WH #CorrespondentsDinner panel is making for a h…",59,@CNN
-0.382,2018-04-29 02:22:28+00:00,0.867,0.133,0.0,@CNN Breaking: Due to the hostile environment the “journalists “ in Washington have caused ... President Trump has… https://t.co/HX5Q5GX4gj,60,@CNN
0.0,2018-04-29 02:22:28+00:00,1.0,0.0,0.0,@CNN  https://t.co/pSYa0AshvO,61,@CNN
0.625,2018-04-29 02:22:27+00:00,0.805,0.0,0.195,"RT @CNN: ""Cheers to the First Amendment,"" says House Speaker Paul Ryan in a video that starts with light-hearted jokes, and ends with a toa…",62,@CNN
0.586,2018-04-29 02:22:27+00:00,0.714,0.0,0.286,Unbelievable tht @whoa awards LYING’ @CNN #jaketapper &amp;team4 their”scoop onDossier&amp;tht#Trump was briefed asPres.-el… https://t.co/zsLXYhaWDk,63,@CNN
0.272,2018-04-29 02:22:26+00:00,0.686,0.126,0.188,So glad to see this. There were no reports @CNN @MSNBC of course https://t.co/p3tMSnjaxf,64,@CNN
0.0,2018-04-29 02:22:25+00:00,1.0,0.0,0.0,@CNN Boohoo! Boohoo!  #Triggered https://t.co/yvZeQrISXF,65,@CNN
-0.751,2018-04-29 02:22:25+00:00,0.775,0.225,0.0,@CNN Go for it. Tell all. We can’t wait. All bluster Trump. A weak link. Someone needs to put a boot up your ass an… https://t.co/t2LIpyqmHv,66,@CNN
-0.735,2018-04-29 02:22:24+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",67,@CNN
0.417,2018-04-29 02:22:24+00:00,0.872,0.0,0.128,RT @CynicalPublius: You nitwits at @CNN really should pause for a moment and wonder why most Americans agree wholeheartedly with @realDonal…,68,@CNN
-0.052,2018-04-29 02:22:24+00:00,0.704,0.115,0.181,@CNN You will attack him for doing Well things for the country. I would hop into a pond to escape demonization. Liberals are silly people,69,@CNN
